product_id,user_id,rating,sentiment_label,text,summary,helpfulness_ratio,date,ai_sentiment,ai_sentiment_score,topic_id,topic_name
B00438XVGU,A2IHDSWGOJBZ2Q,2,negative,this product starbucks via is a starbucks product. its good stuff. i live in seattle the home of starbucks. this price was cheaper than anywhere ive found for this quantity so i ordered. i thought it would take a few days to get here in a plastic envelope. nope 12 twelve days later it arrived and was shipped from tennessee with a packing slip with the official starbucks maiden on the invoice. come on starbucks does all of your roasted coffee ship to your coffee shops from the same location.....no distribution centers or anything that could mail a package a little more efficiently. 12 days from time of order to receipt is a long time for a package. i mail letters from seattle to the southeast every week that arrive in 3 days. this was slower than media mail.,great product. super slow shipping,0.0,2012-07-10,positive,0.9072,0,0_tea_drink_like_taste
B0006Q9568,A3IQGO1FQ706ED,5,positive,this is the best butter i have ever tasted. it arrived quickly and in a styrofoam container with gel packs. it is worth ordering two or three cutting them down and freezing some for later. also makes great gifts.,delicious!,1.0,2009-01-06,positive,0.9797,-1,-1_product_like_good_taste
B001D0IZBM,A3SUV5SBK9RUTR,5,positive,emeril is awesome and this coffee is not just the bomb its the bam!!!!!!!!!!!it will wake you up............ it has a great flavor without being overpowering or bitter.if you are a coffeeholic i highly recommend it.my only problem is with the write up. it leads you to believe that there will be 2 boxes notjust one. maybe reword it somehow.but do not let that deter you................this is great stuff,bam!!!!!!!!!!!!!!!!!!!!!!!,0.0,2012-06-12,positive,0.9727,0,0_tea_drink_like_taste
B000MM6R1C,A2NUB6LX9UICR9,5,positive,everytime i go to europe i look for this particular chocolate bartheres nothing better then rum trauben nuss.it does indeed remind me of rum ice cream yum yumnow the best part about finding it is that it is my husbands gift for fathers day. i bought enoughof it to last in case you run out of itthank you for carrying it. we cant find it anywhere else.i cant wait to see the look on my husbands face... that will be my reward,found it!!!!,0.0,2012-06-07,positive,0.9722,1,1_chocolate_cookies_good_like
B004PAQOCY,A2YEI6F7619EIA,5,positive,the marzipan itself is really delicious. it is soft and the almond flavor really shines. i did not like that this seller has seriously overpriced the item but since i did not really do my homework and was looking for prime eligible items i really cannot complain too much! the product on its own however is divine. i would definitely buy it again and again!,delicious marzipan!,1.0,2011-12-27,positive,0.8982,-1,-1_product_like_good_taste
B003KK9HD8,AHX47RZ7A5E4E,2,negative,i used these for a dark and white chocolate dipped madelaines. i tried to put them one by one with a very fined tip tweezer and was impossible. they stick together and cant be used for a design. however as a decorative piece alltogether it was pretty.,they stick together!,1.0,2011-06-20,neutral,0.5182,-1,-1_product_like_good_taste
B004M8FXNA,ADNL21ONYZUZ,5,positive,simply my favorite coffee available for tassimo. if you love a dark rich brew with delicious crema this is it. i never seem to be able to find this coffee in any grocery or big box store so i was happy to find it on amazon. had it shipped overnight and i am enjoying a cup now as i type this.,excellent product,0.0,2012-02-25,positive,0.9799,0,0_tea_drink_like_taste
B000BVPV5W,A23163WKSGIV0M,5,positive,these are really good! ive used them on my diet program and theyre greatthe high protein content really helps to satisfy and theyre very tasty. the serving size is just rightenough to give me a snack without overdoing it. i plan to continue using these going forward just to have on handtheyre great calorie buys!,pretzel twists,1.0,2007-02-12,positive,0.9855,1,1_chocolate_cookies_good_like
B0032GA6QC,A31C5LG4KUZ4E4,1,negative,my review is about the variety rather than this vendor so unless my experience is an oddity or the vendors seeds differ this may not apply. the american yard long is not anything like the common cucumber variety in markets. it is more like a palebad cantaloupe or honeydew melon than a cucumber. looks exactly like a long melon with seeds in the center. slightly sweet but not sweet enough to make it a palatable melon substitute. too tender and sweet to pass for a cucumber.,this variety blows,0.0,2012-06-20,negative,0.5314,-1,-1_product_like_good_taste
B0040WCQKQ,AZYXC63SS008M,5,positive,some of the healthiest foods you can eat for how easy it is to prepare and ingest. i specifically love how spicy this one is. great stuff!!,dr. mcdougall is the best.,0.0,2011-09-29,positive,0.9847,2,2_sauce_salt_like_rice
B005NYXE1U,A27PJZ5Y42FA4D,4,positive,i give this 4 out 5 stars simply because i hoped for more chocolate items! great amt. of stuff! love the box setup. all the candy really brought back memories. thanks,hometown favorites yummy,1.0,2011-12-06,positive,0.9874,-1,-1_product_like_good_taste
B005K4Q37A,AXRUYD8XAHLM5,1,negative,i ordered grove square kcups the cappuccino variety for my keurig brewer. as with all of the other kcup coffees ive purchased i expected it to be filled with coffee for my keurig to brew. unfortunately it is filled with instant coffee and flavored with creamer and sweetners. it tastes horrible. im pitching the rest its not even worth donating to our church. if id wanted sanka i would not have purchased an expensive coffee brewer the microwave would have been good enough! what i want is a cup of freshly brewed coffee. the product description did not disclose the fact that it is fake coffee. if a real cup of freshly brewed coffee is what you want from your keurig brewer do not buy this product!,grove square kcups do not buy!,0.69,2011-10-22,negative,0.7439,0,0_tea_drink_like_taste
B000WFGOX0,A3JZJQHY3159IQ,4,positive,well i gave this product 4 stars because the purpose i used it for was not intended. i saw that it had 95 meat which was perfect in my mind for a cat diet and the price point was nearly half of that which is for cats.ftr cats and dogs have two completely and vastly varied nutritional needs in my research i recall reading that a cats diet is mainly 95 meat from which they derive their moisturewater from as well since cats hunt and eat small rodents and birds in nature this makes sense since the 5 veggie content is likely from eating cat grasses and the contents of their preys tummy at the time of death.i decided to purchase this food since it was only 2.56 a can at unleashed and i figured i would just add in a calcium supplement and taurine and cat vitamin supplement to make up for the missing bones which would provide the natural calcium source for cats and taurine since i dont believe dogs require as much taurine in their diets as cats would and vitamins to make up for the possibility that there may not be enough vitamins in just meat alone.my cats loved it. i have one very finicky girl kitty whom refuses to eat human foods which is a good thing and most junky cat foods another good thing and one male cat that eats whatever he can get his whiskers into. they both liked this. so i would consider feeding this to them in lieu of the more expensive cat foods after i compare the ingredients of this to that of cat foods and make up the missing vitamins and minerals however i am not happy with the fact that this cat food has the consistency of pate..it is all ground up meats and looks like refried beans... im going to search for a similar product which has shredded meat rather than this consistency,looks like pate meh 1 star,0.0,2012-10-15,positive,0.5362,3,3_food_dog_dogs_loves
B000FPM5EE,A25E711LJ354AC,5,positive,i love the dingo ringos! their round shape works well so that the dogs can hold them with their paws while chewing. the meaty part is imbedding in the middle of the ring so my dogs have to work at it to get it! i dont want them to ingest a lot of rawhide so its nice that they can work their teeth and gums and get a goodie without eating the whole thing! the dogs love these and it takes them a while to get to the meat so it keeps them busy for quite a while. my 10 lb mini dachshund is a very aggressive chewer and these hold up well. my 13 lb mini dachshund has a very soft mouth but still enjoys these. wonderful for the smaller dog!,love these!!,1.0,2010-12-26,positive,0.9159,3,3_food_dog_dogs_loves
B0051COPGC,A1G794K4KUWHNW,5,positive,these organic pouches i believe are less sweet than others. they are on the pricier side but i got them on sale when they offered a coupon on amazon so they were affordable. if they were not so expensive i would get more of them. i do not like that the pouch opening is on the side but i think that they are not meant to be eaten out of the pouch like the other types like earths best or plum organics which have spout on top which my daughter is use. they are also bigger pouches than most other types. my daughter is a pretty picky eater but she seemed to love them. she was hesistant at first of eating them but after a couple times she went for them when she saw them.,daughter loves it,0.0,2012-04-05,neutral,0.5078,6,6_baby_formula_organic_food
B000LKV4LS,AY5WDJ0SM83K4,1,negative,this stuff is absolute awful. just the worst pasta i have ever tasted in my life. i am one of those people who actually likes whole wheat spaghetti and yet found this unswallowable. the texture is horrendous.,terrible!,0.43,2008-02-03,negative,0.9532,2,2_sauce_salt_like_rice
B0083QJU0Y,A1RSIZOPNRQ81T,5,positive,this is super yummy! ill never go back to imitation maple syrup. it arrived in a timely manner and was packaged super secure. my little family adores this product and we will be ordering more soon im sure!,yummy!,0.0,2011-05-25,positive,0.9873,0,0_tea_drink_like_taste
B001M0XKGI,A3OXHLG6DIBRW8,3,neutral,wrigleys elixir gum is good tasting but only for a very short period of time. i like the wrigleys 5 lush gum 1015 piece packs a crisp tropical sugarfree gum type much better and the flavor lasts longer but still not as long as other brands.you can do better than this one.,good tasting sugarfree gum flavor tapers off fast,0.0,2009-05-25,positive,0.7817,1,1_chocolate_cookies_good_like
B000WNGPD6,AWUAK5BXMNKSU,1,negative,i dont think i have a particularly sensitive palate but this was truly undrinkable. i couldnt detect any flavors of pumpkin cinnamon or nutmeg. instead it had a strong plastic and metallic taste with a clove overlay. i like some of their other sugar free syrups but the pumpkin pie one was noxious. try to taste a sample before you order a huge bottle.,disappointing and unpalatable,0.67,2009-11-06,negative,0.8354,0,0_tea_drink_like_taste
B004TPKAN4,AF95FSZHSTICX,3,neutral,on the plus side both my son and i loved loved loved the taste of these. these really are snappy ginger snaps. but on the minus side my mother was afraid to eat them because they are so hard. she was afraid shed break her veneers. so these cookies get a big thumbs up for taste but a thumbs down too because they are way harder then they ought to be.,pretty snappy but very hard,0.0,2011-11-15,positive,0.5671,1,1_chocolate_cookies_good_like
B004CYJX9E,A1JAABEX83DQPE,3,neutral,these bars are slightly dry in my opinion. my sister raves about these bars so i gave my entire order to her. i prefer my bars more moist and soft these are almost crunchy but the taste is very good for 90 calories!,great price okay taste,0.0,2012-04-14,positive,0.4204,1,1_chocolate_cookies_good_like
