product_id,user_id,rating,sentiment_label,text,summary,helpfulness_ratio,date,ai_sentiment,ai_sentiment_score,keywords
B001EO5VNW,A28D1VGPMZEUKJ,2,negative,this did not bloom nicely at all and it tastes like nothing. nothing that i paid 15 for. thanks for nothing amazon!,tastes awful and looks messy,0.29,2007-05-16,negative,0.9588,"['bloom nicely', 'bloom', 'did bloom', 'tastes like', 'nicely tastes']"
B001IZJPNO,A1W8ECI4URWOE3,3,neutral,my batch did indeed have the notorious wrapper stick problem on every one of them. not only that the flavor is a bit off compared to the box that i purchased from a different supplier a month prior. i get the feeling that these which come in a threepack are old and past their prime. im still eating them but will pay a bit more for the next shipment and not buy from this vendor.,not as good as they should be but theyre cheap,0.0,2011-01-12,negative,0.8679,"['stick problem', 'wrapper stick', 'problem flavor', 'wrapper', 'notorious wrapper']"
B001BCOZ9S,A3T4OHEAHOJ700,5,positive,my apologies in advance for what is a lengthy review. however if i can help anyone save a little time compared to what i spent trying to choose a good puppy food thats my goal. so i wrote this not only to review the castor pollux product but also to provide some information on other types of dry dog food.it is no secret that you can buy some very cheap and some very expensive dogpuppy foods. common sense tells you that you can spend very little and get lots of filler and byproducts or spend a good deal more and get wholesome healthy food. my personal opinion is that long term both your dog and you are better off if she is fed good food. the little extra money spent now may offset potential medical bills and heartache later.that being the case i set out to find a really good dog food for my golden retriever puppy while of course trying to keep cost down. i spent a good deal of time researching foods. i disregarded low end foods that are largely grains fillers and meat byproducts. i looked at average to premium foods.i narrowed my choices to several including castor pollux natural ultramix. the others were blue eukanuba innova evo merrick natural balance and wellness.after that i used a few review websites and ratings tables. these can be helpful. i used one that starts each perspective food off with 100 points and then subtracts for poor ingredients example 10 points of containing byproducts and then adds points for any really good ingredients vegetables etc. the foods are then rated in grades from a through f. of my choices all but one were in the a or higher range. from these i eliminated ekanuba first which had a b rating. although it is what the breeder was feeding my puppys litter it appears to be average at best with some decent ingredients but also containing byproducts.once i had established that the remaining contenders all ranked in the same range i looked at price. now all of these will cost more than a store brand but in the end your dog may end up healthier which will make both him and you happier.castor and pollux ranked in the top 5 or so of the foods i looked at and in the end it costs about 1.71 a pound using amazons subscribe and save program. plus it ends up shipped free to your home which makes one less 15 pound item you need to lug home from grocery shopping!now this price is perhaps double a store brand alpo or purina but those brands contain a lot of fillers and meat byproducts and you have no way of knowing what is in byproduct. manufacturers are very good at fooling our eyes. we read meat byproducts and we see meat. yet at 85 cents a pound you many no longer consider it a bargain when you realize meat byproducts can include bones blood heads lungs intestines ligaments feet and feathers. not so yummy any more.the present ingredient list all from the united states by the way for castor pollux natural ultramix is as followschicken chicken meal turkey meal milo ground whole oats ground whole barley dried bananas chicken fat naturally preserved with mixed tocopherols and citric acid brown rice dried peas natural chicken flavor salmon meal tomato pomace brewers dried yeast ground whole flaxseed dried sweet potatoes dried carrots dried egg product potassium chloride salt freeze dried peas dried cranberries dicalcium phosphate fructooligosaccharide calcium carbonate zinc sulfate vitamin e supplement choline chloride ferrous sulfate niacin copper sulfate thiamine mononitrate calcium pantothenate vitamin a supplement manganous oxide pyridoxine hydrochloride sodium selenite riboflavin vitamin d3 supplement biotin vitamin b12 supplement calcium iodate folic acid rosemary extract.it contains very good protein sources such as poultry and poultry meal as well as salmon meal and its grain content comes from oats and barley. it also includes a good mix of dried vegetables and fruits. the dried fruits are easily visible. they are decent size pieces not microscopic.at first glance you might think these ingredients arent all that different than a less expensive brand like iams. however aside from the aforementioned meat byproducts another key thing to look at is whether a food contains corn especially in the first few ingredients. iams and many others will often include corn which isnt worthwhile to your puppy. typically they lack dried vegetablesfruits which casto pollux contains so while other brands might seem less expensive and are per pound in the long run you are paying for fillers.all in all i think natural ultramix is a high grade dog food but not at such a high cost as to prohibit using it on a regular basis. it is smaller size kibble to make it easier for puppies to chew and it does not have an offensive aroma either in the bowl or in the air if you know what i mean.ps for anyone wondering why i chose this brand over the others once i was satisfied i had found a few very good brands it really just came down to the price and shopping availability among them while still having the ingredients i desired including vegetables fruit. i can tell you i found dick van pattens natural balance to be a sleeper in the bunch. i assumed that if the company tied a celebrity name to it the product probably couldnt stand on its own but based on ingredients that looks like a good puppy food as well.,premium puppy food at a very good price!,1.0,2011-04-27,neutral,0.5127,"['dog food', 'dogpuppy foods', 'puppy food', 'expensive dogpuppy', 'breeder feeding']"
B0017SRMFK,A3JNDZML3MI4TJ,5,positive,i bought these for my chip loving husband. he doesnt know they are good for him and loves them! 2 ww points for the bag.,husband loves them,0.0,2009-02-05,positive,0.9514,"['points bag', 'bag', 'chip loving', 'chip', 'bought chip']"
B003GHESE8,AHL4368A8Y91I,5,positive,walkers excellence in quality shortbread in a two bar pack is just the right amount for a lunch bag dessert..individual packaging secures the cookie well and i experienced no breakage in the item highly recommended and affordably priced too..enjoy!,a just right lunchbag snack!,0.8,2011-11-08,positive,0.9769,"['shortbread bar', 'quality shortbread', 'shortbread', 'bag dessert', 'lunch bag']"
B005FG34UW,A21GVKDWL2WS14,3,neutral,i looked for a gift for a boy named zachary. when i saw zacharys chocolates i bought it. however it did say zacharys chocolates on the package. otherwise i am told that he liked the candy.,does not say zacharys chocolates,0.0,2012-07-14,positive,0.5588,"['zacharys chocolates', 'chocolates package', 'chocolates bought', 'candy', 'gift boy']"
B004RYX8UO,A288G5GZV0A3PN,3,neutral,great flavor however for some odd reason most of the brewed kcups are spilling grounds into the coffee. i have never had and currently do not have this problem with other kcups. thus only 3 stars.,why are there grounds?,1.0,2012-07-22,negative,0.455,"['brewed kcups', 'kcups spilling', 'kcups', 'kcups stars', 'problem kcups']"
B0000DGFA9,A1G61ZH75YDRWJ,3,neutral,when we received our bonsai it was delivered in excellent condition. the leaves were full it was beautiful. after a couple of weeks it started to shed leaves. we tried everything to revive it but now it only has a few leaves left. i am hoping it will come back to life in the spring.,bonsai baldness,0.0,2010-02-06,positive,0.94,"['bonsai delivered', 'received bonsai', 'bonsai', 'condition leaves', 'excellent condition']"
B002ANCDMS,A1AL1QDY1TTZ3I,3,neutral,this is a great product and my three cats eat the tuna too cool and the tuna and chicken canned food but they dont like salmon i guess. you would just have to try it to know for sure. this is a very healthy product because it contains no grains and is produced by human standards. i know bff is an excellent product.,my cats dont like the salmon,0.5,2010-09-18,positive,0.9269,"['eat tuna', 'tuna chicken', 'tuna', 'salmon', 'chicken canned']"
B004UBMABM,A3GAFDV2PWXNNW,5,positive,i took a chance because of the other positive reviews and can verify that this is great. although there are other sugar free halvahs for sale this one is in small portions so its easy to control your consumption. each bar has 3 or 4 weight watcher points depending on whether you round the grams or not. either way this provides a lot more satisfaction for the points than a lot of other desserts. sugar free or not halvah is rich so one bar is enough.,yes it is good,1.0,2012-09-14,positive,0.9529,"['desserts sugar', 'consumption bar', 'halvahs sale', 'sugar free', 'bar weight']"
